ProductionLogID,ProductionOrderID,MachineID,OperatorID,LogDate,ShiftStartTime,ShiftEndTime,UnitsProduced,UnitsScrapped,DowntimeMinutes,Notes,ProductionDurationHours,DowntimeFlag,MachineUtilizationRate,ScrapRate
1,49,24,46,2024-09-22,2024-09-22 22:00:00,2024-09-23 06:00:00,130.0,1.03,19,Material shortage caused brief stoppage.,8.0,0,0.9604,0.0079
2,342,13,42,2025-02-25,2025-02-25 14:00:00,2025-02-25 22:00:00,132.16,1.5,19,None,8.0,0,0.9604,0.0112
3,200,7,39,2023-06-26,2023-06-26 14:00:00,2023-06-26 22:00:00,37.74,0.21,12,None,8.0,0,0.975,0.0055
4,102,28,48,2024-03-25,2024-03-25 14:00:00,2024-03-25 22:00:00,138.32,2.71,7,None,8.0,0,0.9854,0.0192
5,256,17,46,2025-04-01,2025-04-01 22:00:00,2025-04-02 06:00:00,81.61,1.61,13,Operator changeover mid-shift.,8.0,0,0.9729,0.0193
6,129,5,23,2023-08-10,2023-08-10 06:00:00,2023-08-10 14:00:00,126.03,2.23,14,None,8.0,0,0.9708,0.0174
7,122,28,41,2025-03-25,2025-03-25 06:00:00,2025-03-25 14:00:00,79.22,0.72,10,None,8.0,0,0.9792,0.009
8,79,29,24,2023-09-05,2023-09-05 14:00:00,2023-09-05 22:00:00,19.54,0.08,7,None,8.0,0,0.9854,0.0041
9,208,29,5,2024-10-02,2024-10-02 06:00:00,2024-10-02 14:00:00,7.0,0.11,1,None,8.0,0,0.9979,0.0155
10,307,14,78,2023-09-09,2023-09-09 06:00:00,2023-09-09 14:00:00,7.28,0.15,4,None,8.0,0,0.9917,0.0202
11,348,10,57,2025-08-20,2025-08-20 06:00:00,2025-08-20 14:00:00,40.92,1.0,37,Operator changeover mid-shift.,8.0,1,0.9229,0.0239
12,51,10,45,2025-01-04,2025-01-04 14:00:00,2025-01-04 22:00:00,75.87,1.47,139,None,8.0,1,0.7104,0.019
13,45,31,38,2024-02-12,2024-02-12 22:00:00,2024-02-13 06:00:00,143.76,1.43,0,None,8.0,0,1.0,0.0098
14,81,22,65,2025-09-14,2025-09-14 22:00:00,2025-09-15 06:00:00,58.93,0.01,12,Minor tooling adjustment required.,8.0,0,0.975,0.0002
15,45,11,80,2024-02-13,2024-02-13 06:00:00,2024-02-13 14:00:00,116.43,2.76,4,Quality hold pending inspection.,8.0,0,0.9917,0.0232
16,180,19,4,2023-11-16,2023-11-16 06:00:00,2023-11-16 14:00:00,114.18,1.67,8,Quality hold pending inspection.,8.0,0,0.9833,0.0144
17,438,6,35,2023-06-11,2023-06-11 22:00:00,2023-06-12 06:00:00,65.02,0.11,8,Unscheduled machine downtime.,8.0,0,0.9833,0.0017
18,158,10,57,2024-11-22,2024-11-22 14:00:00,2024-11-22 22:00:00,112.73,1.87,16,Material shortage caused brief stoppage.,8.0,0,0.9667,0.0163
19,267,7,72,2025-08-11,2025-08-11 22:00:00,2025-08-12 06:00:00,139.76,4.16,15,Quality hold pending inspection.,8.0,0,0.9688,0.0289
20,98,21,18,2023-09-01,2023-09-01 22:00:00,2023-09-02 06:00:00,66.06,0.23,4,Quality hold pending inspection.,8.0,0,0.9917,0.0035
21,222,17,50,2023-03-22,2023-03-22 22:00:00,2023-03-23 06:00:00,75.23,0.02,167,Unscheduled machine downtime.,8.0,1,0.6521,0.0003
22,64,5,63,2023-12-30,2023-12-30 14:00:00,2023-12-30 22:00:00,40.9,1.15,15,Unscheduled machine downtime.,8.0,0,0.9688,0.0273
23,352,10,58,2025-08-18,2025-08-18 14:00:00,2025-08-18 22:00:00,30.79,3.23,85,Material shortage caused brief stoppage.,8.0,1,0.8229,0.0949
24,83,4,29,2023-11-17,2023-11-17 06:00:00,2023-11-17 14:00:00,14.35,0.01,12,None,8.0,0,0.975,0.0007
25,201,33,11,2025-05-07,2025-05-07 06:00:00,2025-05-07 14:00:00,130.76,3.62,205,None,8.0,1,0.5729,0.0269
26,461,32,5,2024-05-28,2024-05-28 06:00:00,2024-05-28 14:00:00,143.8,2.75,3,Material shortage caused brief stoppage.,8.0,0,0.9938,0.0188
27,11,35,61,2025-01-12,2025-01-12 14:00:00,2025-01-12 22:00:00,18.34,0.53,9,Minor tooling adjustment required.,8.0,0,0.9812,0.0281
28,244,24,18,2023-02-16,2023-02-16 06:00:00,2023-02-16 14:00:00,90.44,1.54,11,None,8.0,0,0.9771,0.0167
29,372,1,17,2024-11-14,2024-11-14 22:00:00,2024-11-15 06:00:00,98.16,2.44,8,None,8.0,0,0.9833,0.0243
30,256,31,8,2025-04-13,2025-04-13 22:00:00,2025-04-14 06:00:00,19.15,0.14,13,None,8.0,0,0.9729,0.0073
31,214,28,17,2023-08-25,2023-08-25 06:00:00,2023-08-25 14:00:00,148.46,1.89,158,Unscheduled machine downtime.,8.0,1,0.6708,0.0126
32,264,29,62,2023-06-19,2023-06-19 06:00:00,2023-06-19 14:00:00,53.35,0.09,15,None,8.0,0,0.9688,0.0017
33,298,28,63,2025-09-13,2025-09-13 14:00:00,2025-09-13 22:00:00,144.54,0.97,15,Material shortage caused brief stoppage.,8.0,0,0.9688,0.0067
34,34,4,52,2025-11-13,2025-11-13 14:00:00,2025-11-13 22:00:00,49.83,1.39,146,Material shortage caused brief stoppage.,8.0,1,0.6958,0.0271
35,281,34,70,2023-03-03,2023-03-03 22:00:00,2023-03-04 06:00:00,5.24,0.07,15,Material shortage caused brief stoppage.,8.0,0,0.9688,0.0132
36,403,18,18,2023-04-20,2023-04-20 14:00:00,2023-04-20 22:00:00,97.13,19.09,7,Material shortage caused brief stoppage.,8.0,0,0.9854,0.1643
37,175,33,66,2023-05-13,2023-05-13 14:00:00,2023-05-13 22:00:00,42.92,0.45,6,Operator changeover mid-shift.,8.0,0,0.9875,0.0104
38,150,33,55,2023-04-17,2023-04-17 06:00:00,2023-04-17 14:00:00,67.89,1.36,10,Material shortage caused brief stoppage.,8.0,0,0.9792,0.0196
39,162,22,23,2024-12-04,2024-12-04 14:00:00,2024-12-04 22:00:00,87.39,0.74,8,Quality hold pending inspection.,8.0,0,0.9833,0.0084
