ProductionOrderID,ProductionOrderNumber,ItemID,CustomerID,PlannedQuantity,ActualQuantity,ScheduledStartDate,ScheduledEndDate,Status,Priority,CreatedAt,ActualFinishTime,ProductionDelayMinutes,IsDelayed,QuantityVariance,CompletionRate
1,PRD-000001,41,2,981.38,961.08,2024-06-28,2024-07-20,Completed,Low,2024-06-28,2024-07-17 14:00:00,0.0,0,-20.3,0.9793
2,PRD-000002,78,28,855.25,790.42,2025-04-28,2025-06-07,Completed,Critical,2025-04-28,2025-06-04 14:00:00,0.0,0,-64.83,0.9242
3,PRD-000003,130,23,961.02,209.65,2023-04-28,2023-05-04,InProgress,Low,2023-04-28,2023-05-04 06:00:00,360.0,1,-751.37,0.2182
4,PRD-000004,2,30,951.92,951.43,2025-03-16,2025-03-26,Completed,Medium,2025-03-16,2025-03-26 06:00:00,360.0,1,-0.49,0.9995
5,PRD-000005,161,35,714.61,492.14,2023-09-09,2023-10-19,OnHold,High,2023-09-09,2023-10-15 06:00:00,0.0,0,-222.47,0.6887
6,PRD-000006,184,37,573.84,531.35,2023-09-07,2023-09-29,Completed,High,2023-09-07,2023-09-29 06:00:00,360.0,1,-42.49,0.926
7,PRD-000007,133,38,442.63,0.0,2025-01-30,2025-03-07,Scheduled,Low,2025-01-30,2025-03-06 06:00:00,0.0,0,-442.63,0.0
8,PRD-000008,21,6,597.63,542.23,2025-04-09,2025-05-29,Completed,Low,2025-04-09,2025-05-28 14:00:00,0.0,0,-55.4,0.9073
9,PRD-000009,174,34,626.12,0.0,2025-08-04,2025-09-06,Scheduled,Medium,2025-08-04,2025-09-03 06:00:00,0.0,0,-626.12,0.0
10,PRD-000010,163,28,981.37,901.89,2024-08-18,2024-09-15,Completed,Critical,2024-08-18,2024-09-15 06:00:00,360.0,1,-79.48,0.919
11,PRD-000011,42,10,794.67,787.35,2025-01-03,2025-02-06,Completed,Medium,2025-01-03,2025-01-29 22:00:00,0.0,0,-7.32,0.9908
12,PRD-000012,117,31,944.26,940.5,2024-05-31,2024-07-10,Completed,Low,2024-05-31,2024-07-04 06:00:00,0.0,0,-3.76,0.996
13,PRD-000013,155,27,526.25,0.0,2023-06-17,2023-07-25,Cancelled,Low,2023-06-17,2023-07-23 22:00:00,0.0,0,-526.25,0.0
14,PRD-000014,79,24,977.53,0.0,2024-01-29,2024-02-28,Scheduled,Medium,2024-01-29,2024-02-22 06:00:00,0.0,0,-977.53,0.0
15,PRD-000015,229,20,759.74,0.0,2024-06-01,2024-07-01,Scheduled,High,2024-06-01,2024-06-23 06:00:00,0.0,0,-759.74,0.0
16,PRD-000016,12,27,170.05,0.0,2023-08-18,2023-10-07,Scheduled,Medium,2023-08-18,2023-10-02 22:00:00,0.0,0,-170.05,0.0
17,PRD-000017,122,39,482.13,468.55,2023-11-26,2023-12-27,Completed,Low,2023-11-26,2023-12-22 14:00:00,0.0,0,-13.58,0.9718
18,PRD-000018,115,10,254.87,245.71,2023-05-28,2023-07-10,Completed,High,2023-05-28,2023-06-24 22:00:00,0.0,0,-9.16,0.9641
19,PRD-000019,60,26,669.93,613.84,2023-12-13,2024-01-24,Completed,Medium,2023-12-13,2024-01-13 22:00:00,0.0,0,-56.09,0.9163
20,PRD-000020,166,6,569.43,556.43,2023-02-18,2023-04-04,Completed,High,2023-02-18,2023-03-30 14:00:00,0.0,0,-13.0,0.9772
21,PRD-000021,80,36,503.91,454.13,2025-01-23,2025-03-03,Completed,Medium,2025-01-23,2025-02-22 14:00:00,0.0,0,-49.78,0.9012
22,PRD-000022,148,4,18.95,17.73,2024-11-16,2024-11-24,Completed,Critical,2024-11-16,2024-11-23 14:00:00,0.0,0,-1.22,0.9356
23,PRD-000023,169,35,926.93,0.0,2024-07-09,2024-08-11,Scheduled,Low,2024-07-09,2024-08-09 22:00:00,0.0,0,-926.93,0.0
