SensorReadingID,MachineID,ReadingTimestamp,Temperature,Vibration,Pressure,RPM,PowerConsumptionKW,IsAnomaly
1,32,2023-11-03 08:43:10.058,66.993,1.785,40.927,2036.12,15.664,0
2,9,2025-07-10 08:39:29.665,61.103,3.643,41.925,2297.5,10.661,0
3,20,2025-03-23 09:21:34.381,71.033,1.605,48.714,2234.16,10.08,0
4,24,2025-03-04 18:39:16.904,63.67,3.727,45.689,1989.18,8.386,0
5,3,2025-12-06 19:28:00.976,69.043,2.657,48.475,1761.33,8.483,0
6,30,2025-11-09 14:01:18.210,133.165,19.366,13.388,160.86,1.194,1
7,3,2023-10-23 23:26:47.343,74.175,3.201,52.363,2018.81,11.311,0
8,20,2025-06-24 18:15:36.689,51.884,2.186,49.983,2060.05,13.921,0
9,18,2025-07-24 18:12:39.493,63.476,2.759,39.262,2225.56,3.027,0
10,2,2025-08-02 17:40:10.039,63.505,1.196,51.03,2433.22,13.4,0
11,3,2023-09-03 18:30:19.094,77.168,1.741,53.737,2479.66,11.29,0
12,28,2024-08-06 01:53:17.238,74.085,1.615,40.877,2017.42,10.413,0
13,3,2024-08-15 23:54:43.568,56.548,3.478,43.706,2305.75,10.289,0
14,2,2025-09-23 12:13:09.093,50.435,2.716,35.439,2179.41,7.895,0
15,22,2025-10-07 08:31:16.978,80.898,3.229,45.529,2579.11,9.461,0
16,14,2025-04-09 04:35:17.702,69.348,2.66,46.32,2581.71,14.197,0
17,28,2025-08-05 23:42:26.734,67.31,1.176,40.2,2163.19,12.28,0
18,4,2025-06-03 02:23:06.599,55.958,4.429,52.582,2380.64,12.216,0
19,19,2025-07-29 01:45:01.291,63.302,1.738,45.387,2277.33,8.275,0
20,30,2024-04-09 02:23:03.671,67.673,2.376,35.461,1941.88,10.759,0
21,34,2023-10-12 19:26:47.841,80.102,2.945,38.323,2345.81,7.358,0
22,30,2025-03-27 11:15:29.202,73.662,2.123,44.532,2597.74,8.139,0
23,9,2025-09-20 22:41:13.073,53.823,2.033,50.192,1744.2,3.504,0
24,18,2023-04-04 15:54:31.948,61.391,2.941,51.001,2061.05,10.766,0
25,35,2023-11-20 22:16:43.812,74.231,1.004,43.057,2257.13,13.348,0
26,3,2024-11-05 00:34:54.159,60.922,2.528,32.558,2002.53,13.361,0
27,17,2025-05-06 18:09:46.219,57.142,2.547,47.234,2097.24,12.511,0
28,1,2023-05-17 02:46:21.105,57.298,2.335,48.051,2247.09,10.24,0
29,21,2025-07-04 10:04:28.726,66.794,3.072,34.75,2547.72,10.991,0
30,29,2024-05-21 16:23:37.600,68.404,3.458,38.142,1987.17,11.134,0
31,30,2023-02-10 12:27:31.987,58.73,3.888,40.716,2033.34,12.613,0
32,14,2024-03-23 10:17:38.916,55.383,2.183,46.587,2100.14,11.72,0
33,6,2023-10-30 16:59:32.056,60.765,1.288,46.608,2726.48,12.055,0
34,21,2025-11-09 20:32:51.272,66.802,3.054,38.653,2710.75,12.607,0
35,17,2025-04-18 17:52:15.906,78.055,1.914,54.09,2432.55,13.659,0
36,32,2023-05-20 07:24:24.395,66.872,2.301,51.003,2242.11,6.099,0
37,10,2025-08-12 00:09:56.576,56.063,2.351,46.55,2183.02,15.657,0
38,15,2023-05-06 07:39:20.426,118.134,11.702,9.023,98.78,0.598,1
39,33,2025-07-31 07:47:12.820,77.061,1.946,51.54,1846.36,16.04,0
40,3,2024-08-28 23:33:18.194,61.205,2.559,43.318,2584.71,15.263,0
41,17,2025-12-03 22:25:10.511,100.417,19.262,3.537,143.41,1.057,1
42,23,2024-08-14 18:47:55.666,68.605,1.004,39.191,2115.06,11.097,0
43,16,2024-01-18 22:53:42.777,55.324,2.811,46.257,2141.72,9.733,0
44,29,2023-05-04 22:26:15.959,73.39,3.824,42.582,2016.35,13.474,0
45,14,2023-12-23 17:44:10.070,62.136,2.388,48.698,1627.19,15.955,0
46,27,2023-03-20 04:12:45.428,65.581,2.171,44.554,2188.73,6.806,0
47,19,2023-06-06 16:07:43.652,76.96,2.533,47.215,2485.46,8.937,0
48,24,2024-01-02 19:25:35.147,68.788,2.286,49.234,1561.83,11.703,0
49,24,2024-05-30 09:36:09.749,60.177,2.846,47.35,1987.71,9.863,0
50,2,2023-06-25 13:01:15.203,64.115,1.783,49.21,2089.24,3.279,0
51,10,2025-09-25 12:00:48.575,110.048,12.735,8.419,74.21,1.93,1
52,14,2025-06-03 19:08:20.892,62.001,2.987,48.572,2148.42,11.491,0
53,33,2025-05-07 21:30:59.948,58.549,1.424,53.49,1940.48,16.703,0
54,14,2024-02-19 19:54:25.647,58.124,2.92,39.311,2357.02,11.023,0
55,10,2024-02-22 07:02:10.858,62.5,2.988,42.654,1771.56,14.284,0
56,6,2025-11-11 22:06:47.865,55.833,2.913,49.865,2087.35,15.547,0
57,15,2024-09-11 02:46:28.828,68.854,1.943,52.007,1857.5,10.87,0
58,27,2024-08-13 04:03:46.255,63.349,2.984,50.577,2515.84,12.671,0
59,34,2025-05-24 00:50:30.430,62.758,1.039,38.429,2730.0,6.492,0
60,34,2024-07-23 18:25:48.093,58.724,3.416,46.049,2478.41,13.628,0
61,13,2025-07-04 10:18:53.838,76.757,2.736,48.317,1982.73,13.759,0
62,16,2023-12-26 21:49:43.475,61.831,2.138,49.474,2470.49,17.065,0
63,24,2023-09-10 19:48:27.546,77.986,3.234,36.398,2748.3,14.754,0
64,8,2025-01-28 21:57:42.961,58.873,3.083,39.814,2385.59,8.051,0
65,27,2024-02-01 06:14:12.770,58.534,3.068,50.364,2297.63,11.141,0
66,33,2023-03-25 16:56:32.040,48.081,2.333,47.667,2104.97,11.932,0
67,31,2024-10-24 17:08:39.754,63.515,2.243,45.379,2118.19,16.33,0
68,27,2023-09-09 14:10:46.614,47.349,2.063,40.649,2265.73,12.231,0
69,9,2025-10-10 15:50:29.020,77.978,4.061,41.135,2200.15,12.589,0
70,27,2025-01-08 03:28:57.859,58.617,3.003,43.802,1879.71,11.161,0
