ProductionLogID,ProductionOrderID,MachineID,OperatorID,LogDate,ShiftStartTime,ShiftEndTime,UnitsProduced,UnitsScrapped,DowntimeMinutes,Notes
1,49,24,46,2024-09-22,2024-09-22 22:00:00,2024-09-23 06:00:00,51.62,1.04,14,Material shortage caused brief stoppage.
2,342,13,42,2025-02-25,2025-02-25 14:00:00,2025-02-25 22:00:00,24.67,0.44,17,
3,200,7,39,2023-06-26,2023-06-26 14:00:00,2023-06-26 22:00:00,73.04,0.07,5,
4,102,28,48,2024-03-25,2024-03-25 14:00:00,2024-03-25 22:00:00,28.11,0.8,17,
5,256,17,46,2025-04-01,2025-04-01 22:00:00,2025-04-02 06:00:00,110.85,21.44,62,Operator changeover mid-shift.
6,129,5,23,2023-08-10,2023-08-10 06:00:00,2023-08-10 14:00:00,75.38,1.88,13,
7,122,28,41,2025-03-25,2025-03-25 06:00:00,2025-03-25 14:00:00,80.83,9.28,15,
8,79,29,24,2023-09-05,2023-09-05 14:00:00,2023-09-05 22:00:00,88.1,1.15,14,
9,208,29,5,2024-10-02,2024-10-02 06:00:00,2024-10-02 14:00:00,148.2,3.86,114,
10,307,14,78,2023-09-09,2023-09-09 06:00:00,2023-09-09 14:00:00,138.4,3.94,9,
11,348,10,57,2025-08-20,2025-08-20 06:00:00,2025-08-20 14:00:00,36.05,0.8,34,Operator changeover mid-shift.
12,51,10,45,2025-01-04,2025-01-04 14:00:00,2025-01-04 22:00:00,76.19,0.16,18,
13,45,31,38,2024-02-12,2024-02-12 22:00:00,2024-02-13 06:00:00,25.91,4.31,6,
14,81,22,65,2025-09-14,2025-09-14 22:00:00,2025-09-15 06:00:00,71.48,1.47,4,Minor tooling adjustment required.
15,45,11,80,2024-02-13,2024-02-13 06:00:00,2024-02-13 14:00:00,19.16,3.62,13,Quality hold pending inspection.
16,180,19,4,2023-11-16,2023-11-16 06:00:00,2023-11-16 14:00:00,130.01,0.58,11,Quality hold pending inspection.
17,438,6,35,2023-06-11,2023-06-11 22:00:00,2023-06-12 06:00:00,133.23,0.69,16,Unscheduled machine downtime.
18,158,10,57,2024-11-22,2024-11-22 14:00:00,2024-11-22 22:00:00,51.84,6.83,18,Material shortage caused brief stoppage.
19,267,7,72,2025-08-11,2025-08-11 22:00:00,2025-08-12 06:00:00,90.74,1.93,14,Quality hold pending inspection.
20,98,21,18,2023-09-01,2023-09-01 22:00:00,2023-09-02 06:00:00,73.33,0.93,146,Quality hold pending inspection.
21,222,17,50,2023-03-22,2023-03-22 22:00:00,2023-03-23 06:00:00,32.7,0.57,10,Unscheduled machine downtime.
22,64,5,63,2023-12-30,2023-12-30 14:00:00,2023-12-30 22:00:00,76.06,8.91,18,Unscheduled machine downtime.
23,352,10,58,2025-08-18,2025-08-18 14:00:00,2025-08-18 22:00:00,38.53,0.05,127,Material shortage caused brief stoppage.
24,83,4,29,2023-11-17,2023-11-17 06:00:00,2023-11-17 14:00:00,83.79,1.25,8,
25,201,33,11,2025-05-07,2025-05-07 06:00:00,2025-05-07 14:00:00,135.16,3.68,8,
26,461,32,5,2024-05-28,2024-05-28 06:00:00,2024-05-28 14:00:00,88.44,0.95,9,Material shortage caused brief stoppage.
27,11,35,61,2025-01-12,2025-01-12 14:00:00,2025-01-12 22:00:00,58.48,0.26,1,Minor tooling adjustment required.
28,244,24,18,2023-02-16,2023-02-16 06:00:00,2023-02-16 14:00:00,108.39,0.27,47,
29,372,1,17,2024-11-14,2024-11-14 22:00:00,2024-11-15 06:00:00,15.38,0.46,6,
30,256,31,8,2025-04-13,2025-04-13 22:00:00,2025-04-14 06:00:00,87.56,2.38,14,
31,214,28,17,2023-08-25,2023-08-25 06:00:00,2023-08-25 14:00:00,88.39,0.31,18,Unscheduled machine downtime.
32,264,29,62,2023-06-19,2023-06-19 06:00:00,2023-06-19 14:00:00,68.72,5.22,2,
33,298,28,63,2025-09-13,2025-09-13 14:00:00,2025-09-13 22:00:00,27.28,0.71,10,Material shortage caused brief stoppage.
34,34,4,52,2025-11-13,2025-11-13 14:00:00,2025-11-13 22:00:00,87.53,2.44,14,Material shortage caused brief stoppage.
35,281,34,70,2023-03-03,2023-03-03 22:00:00,2023-03-04 06:00:00,24.88,0.44,6,Material shortage caused brief stoppage.
36,403,18,18,2023-04-20,2023-04-20 14:00:00,2023-04-20 22:00:00,99.0,2.39,17,Material shortage caused brief stoppage.
37,175,33,66,2023-05-13,2023-05-13 14:00:00,2023-05-13 22:00:00,14.44,0.32,18,Operator changeover mid-shift.
38,150,33,55,2023-04-17,2023-04-17 06:00:00,2023-04-17 14:00:00,14.29,0.17,204,Material shortage caused brief stoppage.
39,162,22,23,2024-12-04,2024-12-04 14:00:00,2024-12-04 22:00:00,83.74,0.72,16,Quality hold pending inspection.
40,457,16,14,2023-09-24,2023-09-24 14:00:00,2023-09-24 22:00:00,74.14,0.51,15,Unscheduled machine downtime.
41,189,6,60,2025-07-01,2025-07-01 14:00:00,2025-07-01 22:00:00,77.39,0.12,18,Minor tooling adjustment required.
