PurchaseOrderLineID,PurchaseOrderID,ItemID,QuantityOrdered,QuantityReceived,UnitPrice,LineTotal
1,1,156,299.27,106.68,184.35,55170.42
2,2,97,250.9,250.9,27.56,6914.8
3,3,238,493.95,493.95,183.07,90427.43
4,4,93,72.54,0.0,213.54,15490.19
5,5,115,349.1,349.1,51805.65,18085352.42
6,6,1,205.14,0.0,3178.62,652062.11
7,7,73,216.96,216.96,17.56,3809.82
8,8,133,360.21,360.21,24494.77,8823261.1
9,9,228,347.76,347.76,81.16,28224.2
10,10,77,495.67,495.67,77.74,38533.39
11,11,55,68.56,0.0,252.66,17322.37
12,12,6,56.53,56.53,22.16,1252.7
13,13,242,363.55,235.7,178986.53,65070552.98
14,14,142,291.3,0.0,117.47,34219.01
15,15,147,140.71,140.71,45.43,6392.46
16,16,40,44.31,11.58,2412.69,106906.29
17,17,40,47.4,47.4,2221.38,105293.41
18,18,94,447.62,447.62,3318.09,1485243.45
19,19,64,99.97,35.13,42.72,4270.72
20,20,24,165.07,94.22,84419.96,13935202.8
21,21,56,117.19,117.19,37.07,4344.23
22,22,186,180.72,74.28,259.29,46858.89
23,23,125,39.36,0.0,51.27,2017.99
24,24,177,261.93,261.93,61.79,16184.65
25,25,210,38.47,0.0,312.03,12003.79
26,26,153,401.18,0.0,1618.57,649337.91
27,27,10,120.69,120.69,8432.45,1017712.39
28,28,148,272.31,0.0,149579.79,40732072.61
29,29,200,440.64,0.0,3876.8,1708273.15
30,30,198,327.18,0.0,42.19,13803.72
31,31,226,268.81,268.81,300.08,80664.5
32,32,107,165.55,165.55,84.52,13992.29
33,33,31,169.84,169.84,245.79,41744.97
34,34,59,336.4,0.0,42764.39,14385940.8
35,35,218,497.1,497.1,1556.48,773726.21
36,36,3,332.61,332.61,140.85,46848.12
37,37,162,281.1,0.0,79.93,22468.32
38,38,79,366.67,366.67,228522.11,83792202.07
39,39,82,235.28,0.0,65.16,15330.84
40,40,39,34.77,34.77,44.38,1543.09
41,41,179,283.34,283.34,322.14,91275.15
42,42,13,479.02,0.0,115.59,55369.92
43,43,101,91.77,0.0,311.32,28569.84
44,44,193,346.55,0.0,164.53,57017.87
45,45,130,104.46,27.01,46.79,4887.68
46,46,202,270.23,270.23,1493.25,403520.95
47,47,34,52.85,52.85,1185.63,62660.55
48,48,122,227.93,130.25,6196.29,1412320.38
49,49,103,379.3,140.59,4857.5,1842449.75
50,50,112,177.05,177.05,179734.53,31821998.54
51,51,34,334.13,0.0,1313.91,439016.75
52,52,124,398.75,398.75,149319.76,59541254.3
53,53,125,463.95,0.0,46.29,21476.25
54,54,147,121.15,39.67,42.32,5127.07
55,55,189,202.66,202.66,194.64,39445.74
56,56,63,80.45,19.84,14.92,1200.31
57,57,83,496.28,496.28,29.25,14516.19
58,58,148,463.87,463.87,138611.68,64297800.0
59,59,172,272.28,272.28,2190.71,596486.52
60,60,94,421.81,0.0,2918.03,1230854.23
61,61,83,262.87,262.87,26.93,7079.09
62,62,168,313.67,0.0,224672.54,70473035.62
63,63,79,49.12,49.12,208845.32,10258482.12
64,64,90,378.86,227.52,25.84,9789.74
65,65,114,68.22,0.0,29258.69,1996027.83
66,66,113,413.9,0.0,4101.36,1697552.9
67,67,210,392.1,392.1,265.36,104047.66
68,68,176,355.83,157.63,108.69,38675.16
69,69,219,22.9,0.0,4052.83,92809.81
70,70,190,155.05,155.05,15.35,2380.02
71,71,243,135.24,0.0,52.11,7047.36
72,72,38,183.27,0.0,3264.61,598305.07
73,73,210,48.38,0.0,269.12,13020.03
74,74,88,468.79,468.79,3469.41,1626424.71
75,75,29,279.13,279.13,2808.68,783986.85
76,76,121,156.23,0.0,212749.88,33237913.75
77,77,54,201.51,201.51,101568.68,20467104.71
78,78,55,226.37,226.37,215.69,48825.75
79,79,134,302.29,207.89,20.23,6115.33
80,80,160,260.26,260.26,318.29,82838.16
81,81,37,460.1,0.0,18.96,8723.5
82,82,172,251.0,0.0,1975.01,495727.51
83,83,150,496.12,391.4,130.62,64803.19
84,84,66,426.46,132.5,130.4,55610.38
85,85,203,108.21,108.21,178712.91,19338523.99
86,86,70,465.64,465.64,164915.97,76791472.27
87,87,168,62.6,62.6,281765.47,17638518.42
88,88,18,409.64,409.64,268.33,109918.7
89,89,70,193.41,193.41,192449.31,37221621.05
90,90,234,439.6,439.6,65.26,28688.3
91,91,222,434.69,434.69,323.77,140739.58
92,92,75,403.93,308.53,7420.98,2997556.45
93,93,60,396.07,396.07,379.46,150292.72
94,94,131,155.82,0.0,211.31,32926.32
95,95,26,45.06,0.0,6663.92,300276.24
96,96,125,204.48,204.48,51.75,10581.84
97,97,137,90.89,90.89,51.57,4687.2
98,98,51,349.0,0.0,19.88,6938.12
99,99,118,176.32,176.32,98.64,17392.2
100,100,183,487.93,487.93,201.8,98464.27
101,101,64,322.28,322.28,43.8,14115.86
102,102,79,412.13,171.78,221264.63,91189791.96
103,103,41,70.6,0.0,133428.77,9420071.16
104,104,176,431.7,0.0,98.57,42552.67
105,105,161,461.76,461.76,4.28,1976.33
106,106,129,246.1,0.0,7010.89,1725380.03
107,107,16,305.1,305.1,42.15,12859.96
108,108,225,383.58,0.0,124190.57,47637018.84
109,109,209,91.55,91.55,9149.16,837605.6
110,110,242,253.77,0.0,191869.55,48690735.7
111,111,72,202.34,0.0,148.52,30051.54
112,112,88,77.46,77.46,3633.74,281469.5
113,113,169,186.93,54.06,4703.52,879228.99
114,114,134,38.75,38.75,22.23,861.41
115,115,157,17.78,13.64,249273.25,4432078.39
116,116,107,71.91,71.91,71.65,5152.35
117,117,40,481.74,0.0,2392.55,1152587.04
118,118,80,277.02,277.02,29.4,8144.39
119,119,85,483.08,237.66,60.29,29124.89
120,120,168,219.09,0.0,231762.57,50776861.46
121,121,139,159.35,0.0,47.92,7636.05
122,122,52,255.54,255.54,87.12,22262.64
123,123,80,222.56,0.0,27.96,6222.78
124,124,231,57.3,57.3,257.59,14759.91
125,125,35,322.21,0.0,225.6,72690.58
126,126,233,111.94,111.94,232789.38,26058443.2
127,127,38,311.7,0.0,3109.36,969187.51
128,128,145,326.85,0.0,75.85,24791.57
129,129,82,80.25,80.25,57.73,4632.83
130,130,137,35.37,35.37,63.6,2249.53
131,131,31,391.48,0.0,208.09,81463.07
132,132,215,232.6,232.6,22.11,5142.79
133,133,187,33.79,0.0,30.59,1033.64
134,134,82,497.46,384.08,63.18,31429.52
135,135,106,33.6,0.0,88.28,2966.21
