PurchaseOrderID,PONumber,SupplierID,OrderDate,ExpectedDeliveryDate,Status,TotalAmount,CreatedAt
1,PO-000001,20,2025-05-10,2025-05-27,PartiallyReceived,177959.43,2025-05-10 00:00:00
2,PO-000002,20,2024-02-17,2024-03-12,Received,11713071.76,2024-02-17 00:00:00
3,PO-000003,36,2025-07-28,2025-08-08,Received,2057698.09,2025-07-28 00:00:00
4,PO-000004,16,2024-03-27,2024-04-16,Approved,314748.33,2024-03-27 00:00:00
5,PO-000005,55,2023-10-07,2023-10-24,Received,18441198.87,2023-10-07 00:00:00
6,PO-000006,18,2024-02-11,2024-03-06,Approved,652062.11,2024-02-11 00:00:00
7,PO-000007,13,2024-02-17,2024-03-14,Received,3809.82,2024-02-17 00:00:00
8,PO-000008,31,2025-05-31,2025-06-25,Received,16479807.04,2025-05-31 00:00:00
9,PO-000009,14,2023-08-17,2023-09-03,Received,1575510.87,2023-08-17 00:00:00
10,PO-000010,45,2025-10-23,2026-01-01,Received,107156107.26,2025-10-23 00:00:00
11,PO-000011,21,2024-10-23,2024-11-05,Approved,25177.52,2024-10-23 00:00:00
12,PO-000012,20,2025-04-29,2025-05-18,Received,49132.71,2025-04-29 00:00:00
13,PO-000013,52,2023-10-14,2023-11-06,PartiallyReceived,65083208.86,2023-10-14 00:00:00
14,PO-000014,14,2025-12-10,2026-01-01,Shipped,19463296.01,2025-12-10 00:00:00
15,PO-000015,2,2024-02-10,2024-03-25,Received,8755.23,2024-02-10 00:00:00
16,PO-000016,10,2023-10-13,2023-11-07,PartiallyReceived,790206.18,2023-10-13 00:00:00
17,PO-000017,32,2023-08-03,2023-08-17,Received,13293436.16,2023-08-03 00:00:00
18,PO-000018,32,2024-08-25,2024-09-22,Received,85868354.03,2024-08-25 00:00:00
19,PO-000019,47,2025-11-24,2025-12-21,PartiallyReceived,9755.92,2025-11-24 00:00:00
20,PO-000020,59,2025-05-20,2025-07-15,PartiallyReceived,113407148.12,2025-05-20 00:00:00
21,PO-000021,54,2025-08-31,2025-09-27,Received,4344.23,2025-08-31 00:00:00
22,PO-000022,54,2025-07-16,2025-08-23,PartiallyReceived,15061963.21,2025-07-16 00:00:00
23,PO-000023,33,2024-11-21,2024-11-30,Pending,35436.66,2024-11-21 00:00:00
24,PO-000024,40,2024-05-14,2024-05-22,Received,1203353.15,2024-05-14 00:00:00
25,PO-000025,36,2025-09-26,2025-10-24,Pending,1406465.72,2025-09-26 00:00:00
26,PO-000026,19,2024-03-26,2024-04-02,Shipped,28913327.39,2024-03-26 00:00:00
27,PO-000027,59,2023-01-19,2023-02-17,Received,132905449.72,2023-01-19 00:00:00
28,PO-000028,40,2023-07-16,2023-07-26,Approved,40830169.18,2023-07-16 00:00:00
29,PO-000029,24,2024-07-30,2024-08-17,Shipped,3341806.62,2024-07-30 00:00:00
30,PO-000030,15,2025-11-16,2025-12-07,Cancelled,13803.72,2025-11-16 00:00:00
31,PO-000031,49,2023-11-25,2023-12-04,Received,99701146.47,2023-11-25 00:00:00
32,PO-000032,4,2023-02-04,2023-02-23,Received,3773908.03,2023-02-04 00:00:00
33,PO-000033,42,2024-11-28,2025-02-06,Received,237342.69,2024-11-28 00:00:00
34,PO-000034,58,2025-05-08,2025-06-02,Cancelled,14451570.6,2025-05-08 00:00:00
35,PO-000035,45,2024-08-01,2024-08-09,Received,805709.22,2024-08-01 00:00:00
36,PO-000036,44,2025-08-29,2025-09-20,Received,139757.85,2025-08-29 00:00:00
37,PO-000037,60,2025-10-10,2025-11-03,Pending,1441746.94,2025-10-10 00:00:00
38,PO-000038,49,2025-07-20,2025-07-27,Received,145292759.89,2025-07-20 00:00:00
39,PO-000039,37,2025-06-17,2025-07-06,Shipped,125100760.6,2025-06-17 00:00:00
40,PO-000040,25,2023-09-21,2023-10-10,Received,141946.8,2023-09-21 00:00:00
41,PO-000041,6,2025-04-07,2025-04-18,Received,104883.85,2025-04-07 00:00:00
42,PO-000042,5,2024-07-02,2024-08-26,Approved,56577.13,2024-07-02 00:00:00
43,PO-000043,50,2024-01-08,2024-02-03,Shipped,72531.18,2024-01-08 00:00:00
44,PO-000044,32,2023-12-24,2024-01-20,Cancelled,475296.41,2023-12-24 00:00:00
45,PO-000045,44,2023-09-07,2023-10-01,PartiallyReceived,5178.49,2023-09-07 00:00:00
46,PO-000046,46,2024-10-03,2024-11-19,Received,1918685.56,2024-10-03 00:00:00
47,PO-000047,21,2023-03-22,2023-04-25,Received,76782.59,2023-03-22 00:00:00
48,PO-000048,49,2024-01-30,2024-03-08,PartiallyReceived,1439136.02,2024-01-30 00:00:00
49,PO-000049,36,2023-10-23,2023-12-10,PartiallyReceived,1947104.26,2023-10-23 00:00:00
50,PO-000050,39,2024-07-15,2024-08-26,Received,67809257.57,2024-07-15 00:00:00
51,PO-000051,27,2024-10-16,2024-11-02,Pending,443926.87,2024-10-16 00:00:00
52,PO-000052,16,2024-02-29,2024-03-09,Received,59606113.08,2024-02-29 00:00:00
53,PO-000053,18,2024-09-18,2024-09-30,Approved,2516730.67,2024-09-18 00:00:00
