InspectionID,ProductionOrderID,InspectorOperatorID,InspectionDate,InspectionType,Result,DefectCategory,DefectCount,Remarks
1,80,55,2024-07-22 17:27:54,Incoming,Pass,,0,All measured parameters within specification.
2,64,31,2024-03-18 05:37:45,FinalInspection,Pass,,0,All measured parameters within specification.
3,277,66,2025-12-28 09:30:20,InProcess,Fail,Fastener Torque Non-Conformance,11,Fastener Torque Non-Conformance identified during inspection; see NCR log.
4,164,26,2023-05-25 22:53:35,InProcess,Pass,,0,All measured parameters within specification.
5,321,67,2023-09-26 16:40:40,Audit,Pass,,0,All measured parameters within specification.
6,332,74,2025-05-31 19:35:42,Incoming,Pass,,0,All measured parameters within specification.
7,401,43,2023-05-26 22:35:32,InProcess,Pass,,0,All measured parameters within specification.
8,167,77,2024-12-19 00:25:12,InProcess,Pass,,0,All measured parameters within specification.
9,406,31,2025-01-26 14:37:45,Incoming,Fail,Foreign Object Debris (FOD),6,Foreign Object Debris (FOD) identified during inspection; see NCR log.
10,346,42,2024-09-03 01:10:18,FinalInspection,Pass,,0,All measured parameters within specification.
11,246,4,2024-02-13 19:32:30,InProcess,Pass,,0,All measured parameters within specification.
12,136,44,2023-04-17 08:07:58,InProcess,Pass,,0,All measured parameters within specification.
13,300,43,2023-07-28 20:35:45,Audit,Pass,,0,All measured parameters within specification.
14,340,66,2024-11-24 11:33:26,Incoming,Pass,,0,All measured parameters within specification.
15,415,42,2025-12-09 22:15:30,InProcess,Pass,,0,All measured parameters within specification.
16,9,55,2025-07-28 14:56:25,Incoming,Pass,,0,All measured parameters within specification.
17,258,63,2025-05-03 13:53:57,InProcess,Pass,,0,All measured parameters within specification.
18,293,68,2023-02-16 14:31:48,InProcess,Pass,,0,All measured parameters within specification.
19,333,34,2024-07-19 08:04:51,Incoming,Pass,,0,All measured parameters within specification.
20,389,23,2024-11-06 21:22:47,InProcess,Pass,,0,All measured parameters within specification.
21,212,75,2025-06-04 13:52:49,InProcess,Pass,,0,All measured parameters within specification.
22,307,2,2024-11-21 13:22:14,InProcess,Fail,Dimensional Tolerance Deviation,9,Dimensional Tolerance Deviation identified during inspection; see NCR log.
23,265,29,2025-04-30 23:14:25,InProcess,ReworkRequired,Coating Thickness Deviation,4,Coating Thickness Deviation identified during inspection; see NCR log.
24,160,46,2023-07-02 03:26:28,FinalInspection,Pass,,0,All measured parameters within specification.
25,107,51,2024-11-19 17:33:11,InProcess,Pass,,0,All measured parameters within specification.
26,175,27,2023-05-13 17:54:44,FinalInspection,Pass,,0,All measured parameters within specification.
27,182,47,2025-06-03 15:55:03,InProcess,Fail,Dimensional Tolerance Deviation,8,Dimensional Tolerance Deviation identified during inspection; see NCR log.
28,263,31,2024-08-28 20:56:49,FinalInspection,ReworkRequired,Fastener Torque Non-Conformance,6,Fastener Torque Non-Conformance identified during inspection; see NCR log.
29,417,31,2025-03-22 09:51:24,FinalInspection,Pass,,0,All measured parameters within specification.
30,472,39,2024-01-24 09:24:56,FinalInspection,Pass,,0,All measured parameters within specification.
31,87,59,2024-11-09 18:49:15,InProcess,Pass,,0,All measured parameters within specification.
32,102,9,2025-11-20 02:39:01,FinalInspection,Pass,,0,All measured parameters within specification.
33,123,40,2025-05-30 04:07:54,Incoming,Pass,,0,All measured parameters within specification.
34,129,29,2023-07-06 04:18:46,Audit,Pass,,0,All measured parameters within specification.
35,312,56,2024-05-12 10:35:21,InProcess,Pass,,0,All measured parameters within specification.
36,466,67,2025-01-03 21:21:46,InProcess,Pass,,0,All measured parameters within specification.
37,14,6,2023-02-16 08:43:58,FinalInspection,ReworkRequired,Surface Finish Defect,7,Surface Finish Defect identified during inspection; see NCR log.
38,100,49,2023-06-11 21:56:24,InProcess,Pass,,0,All measured parameters within specification.
39,315,40,2023-08-17 23:54:10,InProcess,Fail,Foreign Object Debris (FOD),2,Foreign Object Debris (FOD) identified during inspection; see NCR log.
40,357,68,2024-04-14 10:07:19,Incoming,Pass,,0,All measured parameters within specification.
41,455,49,2025-10-30 05:58:39,InProcess,Pass,,0,All measured parameters within specification.
42,196,29,2025-03-05 02:18:30,FinalInspection,Fail,Foreign Object Debris (FOD),6,Foreign Object Debris (FOD) identified during inspection; see NCR log.
43,45,39,2024-11-03 13:07:25,FinalInspection,Pass,,0,All measured parameters within specification.
44,14,58,2025-09-17 11:55:32,FinalInspection,Pass,,0,All measured parameters within specification.
45,183,41,2023-04-08 18:24:27,Audit,Pass,,0,All measured parameters within specification.
46,197,20,2023-07-17 18:55:54,InProcess,Pass,,0,All measured parameters within specification.
47,113,12,2025-04-22 08:12:08,InProcess,Pass,,0,All measured parameters within specification.
48,100,53,2025-12-21 05:30:03,InProcess,Fail,Material Porosity,8,Material Porosity identified during inspection; see NCR log.
49,378,32,2024-06-02 06:39:00,FinalInspection,Pass,,0,All measured parameters within specification.
50,44,68,2024-07-04 23:50:21,InProcess,Pass,,0,All measured parameters within specification.
51,144,80,2023-03-05 03:26:08,Incoming,Pass,,0,All measured parameters within specification.
52,27,7,2023-08-07 11:24:23,Incoming,Pass,,0,All measured parameters within specification.
53,405,8,2025-11-16 06:44:01,FinalInspection,Pass,,0,All measured parameters within specification.
54,35,61,2025-07-16 01:21:07,FinalInspection,Pass,,0,All measured parameters within specification.
55,65,30,2023-08-23 15:09:58,FinalInspection,Pass,,0,All measured parameters within specification.
56,115,71,2023-08-30 20:35:13,Incoming,Pass,,0,All measured parameters within specification.
57,261,11,2025-01-06 06:12:57,Incoming,ReworkRequired,Weld Discontinuity,7,Weld Discontinuity identified during inspection; see NCR log.
58,419,15,2024-12-10 15:19:42,FinalInspection,Pass,,0,All measured parameters within specification.
59,273,25,2023-07-20 17:43:31,FinalInspection,Pass,,0,All measured parameters within specification.
60,282,21,2025-03-26 21:03:07,InProcess,Pass,,0,All measured parameters within specification.
