MachineID,ReadingTimestamp,Temperature,Vibration,Pressure,RPM,PowerConsumptionKW,IsAnomaly
32,43:10.1,66.993,1.785,40.927,2036.12,15.664,0
9,39:29.7,61.103,3.643,41.925,2297.5,10.661,0
20,21:34.4,71.033,1.605,48.714,2234.16,10.08,0
24,39:16.9,63.67,3.727,45.689,1989.18,8.386,0
3,28:01.0,69.043,2.657,48.475,1761.33,8.483,0
30,01:18.2,133.165,19.366,13.388,160.86,1.194,1
3,26:47.3,74.175,3.201,52.363,2018.81,11.311,0
20,15:36.7,51.884,2.186,49.983,2060.05,13.921,0
18,12:39.5,63.476,2.759,39.262,2225.56,3.027,0
2,40:10.0,63.505,1.196,51.03,2433.22,13.4,0
3,30:19.1,77.168,1.741,53.737,2479.66,11.29,0
28,53:17.2,74.085,1.615,40.877,2017.42,10.413,0
3,54:43.6,56.548,3.478,43.706,2305.75,10.289,0
2,13:09.1,50.435,2.716,35.439,2179.41,7.895,0
22,31:17.0,80.898,3.229,45.529,2579.11,9.461,0
14,35:17.7,69.348,2.66,46.32,2581.71,14.197,0
28,42:26.7,67.31,1.176,40.2,2163.19,12.28,0
4,23:06.6,55.958,4.429,52.582,2380.64,12.216,0
19,45:01.3,63.302,1.738,45.387,2277.33,8.275,0
30,23:03.7,67.673,2.376,35.461,1941.88,10.759,0
34,26:47.8,80.102,2.945,38.323,2345.81,7.358,0
30,15:29.2,73.662,2.123,44.532,2597.74,8.139,0
9,41:13.1,53.823,2.033,50.192,1744.2,3.504,0
18,54:31.9,61.391,2.941,51.001,2061.05,10.766,0
35,16:43.8,74.231,1.004,43.057,2257.13,13.348,0
3,34:54.2,60.922,2.528,32.558,2002.53,13.361,0
17,09:46.2,57.142,2.547,47.234,2097.24,12.511,0
1,46:21.1,57.298,2.335,48.051,2247.09,10.24,0
21,04:28.7,66.794,3.072,34.75,2547.72,10.991,0
29,23:37.6,68.404,3.458,38.142,1987.17,11.134,0
30,27:32.0,58.73,3.888,40.716,2033.34,12.613,0
14,17:38.9,55.383,2.183,46.587,2100.14,11.72,0
6,59:32.1,60.765,1.288,46.608,2726.48,12.055,0
21,32:51.3,66.802,3.054,38.653,2710.75,12.607,0
17,52:15.9,78.055,1.914,54.09,2432.55,13.659,0
32,24:24.4,66.872,2.301,51.003,2242.11,6.099,0
10,09:56.6,56.063,2.351,46.55,2183.02,15.657,0
15,39:20.4,118.134,11.702,9.023,98.78,0.598,1
33,47:12.8,77.061,1.946,51.54,1846.36,16.04,0
3,33:18.2,61.205,2.559,43.318,2584.71,15.263,0
17,25:10.5,100.417,19.262,3.537,143.41,1.057,1
23,47:55.7,68.605,1.004,39.191,2115.06,11.097,0
16,53:42.8,55.324,2.811,46.257,2141.72,9.733,0
29,26:16.0,73.39,3.824,42.582,2016.35,13.474,0
14,44:10.1,62.136,2.388,48.698,1627.19,15.955,0
27,12:45.4,65.581,2.171,44.554,2188.73,6.806,0
19,07:43.7,76.96,2.533,47.215,2485.46,8.937,0
24,25:35.1,68.788,2.286,49.234,1561.83,11.703,0
24,36:09.7,60.177,2.846,47.35,1987.71,9.863,0
2,01:15.2,64.115,1.783,49.21,2089.24,3.279,0
10,00:48.6,110.048,12.735,8.419,74.21,1.93,1
14,08:20.9,62.001,2.987,48.572,2148.42,11.491,0
33,30:59.9,58.549,1.424,53.49,1940.48,16.703,0
14,54:25.6,58.124,2.92,39.311,2357.02,11.023,0
10,02:10.9,62.5,2.988,42.654,1771.56,14.284,0
6,06:47.9,55.833,2.913,49.865,2087.35,15.547,0
15,46:28.8,68.854,1.943,52.007,1857.5,10.87,0
27,03:46.3,63.349,2.984,50.577,2515.84,12.671,0
34,50:30.4,62.758,1.039,38.429,2730,6.492,0
34,25:48.1,58.724,3.416,46.049,2478.41,13.628,0
13,18:53.8,76.757,2.736,48.317,1982.73,13.759,0
16,49:43.5,61.831,2.138,49.474,2470.49,17.065,0
24,48:27.5,77.986,3.234,36.398,2748.3,14.754,0
8,57:43.0,58.873,3.083,39.814,2385.59,8.051,0
27,14:12.8,58.534,3.068,50.364,2297.63,11.141,0
33,56:32.0,48.081,2.333,47.667,2104.97,11.932,0
31,08:39.8,63.515,2.243,45.379,2118.19,16.33,0
27,10:46.6,47.349,2.063,40.649,2265.73,12.231,0
9,50:29.0,77.978,4.061,41.135,2200.15,12.589,0
27,28:57.9,58.617,3.003,43.802,1879.71,11.161,0
17,05:39.6,57.019,3.329,54.508,2273.45,12.334,0
8,58:35.6,66.219,3.446,50.803,2165.3,12.758,0
10,35:19.7,70.221,1.59,51.063,2720.45,15.495,0
13,38:54.5,55.035,0.924,48.544,1971.94,12.861,0
1,44:25.4,77.281,1.974,43.112,2283.02,8.107,0
31,12:10.5,58.937,2.52,43.498,2382.52,20.298,0
3,48:10.7,98.828,14.586,6.32,141.07,1.472,1
11,27:07.0,62.359,2.331,41.861,2113.59,16.256,0
34,24:45.1,45.098,3.522,46.69,1837.89,8.774,0
23,27:52.2,78.411,1.744,39.233,2541.19,13.016,0
16,55:36.1,57.497,2.673,39.871,2530.25,15.184,0
22,02:30.8,69.256,2.789,53.806,2199.91,8.454,0
3,13:00.6,68.596,4.169,39.926,2091.56,13.249,0
29,31:07.1,64.569,1.714,50.609,2896.01,12.588,0
28,34:16.3,57.767,1.261,46.29,2531.16,13.426,0
9,53:08.1,64.981,2.029,39.539,2450.43,14.741,0
33,59:16.2,52.634,3.772,47.87,2619.88,7.974,0
24,16:42.1,54.073,2.381,47.514,2738.91,14.118,0
21,04:02.8,63.059,1.679,51.15,1910.59,16.885,0
18,30:20.3,62.725,3.772,48.395,2158.9,10.442,0
20,45:08.3,62.273,2.843,45.386,2021.86,11.503,0
34,05:12.2,65.629,0.797,47.291,1906.08,8.54,0
28,33:33.2,51.501,1.065,38.223,1987.29,17.86,0
12,20:21.1,60.793,2.642,47.002,2239.32,11.768,0
14,31:46.2,55.438,3.661,54.036,1695.2,8.928,0
21,58:49.9,62.762,1.728,47.53,1981.52,18.495,0
8,31:05.9,74.524,2.67,50.135,2531.77,10.308,0
15,58:33.6,58.47,2.563,49.308,2241.72,7.269,0
17,48:37.8,58.577,2.441,44.622,2791.76,7.842,0
15,52:31.2,69.045,3.691,56.357,2078.68,13.474,0
14,51:19.0,69.558,2.656,44.506,2330.79,4.403,0
11,45:40.6,70.457,2.601,43.888,2814.06,9.975,0
35,25:49.5,61.775,4.093,40.84,2034.97,11.559,0
32,13:05.2,121.976,18.829,6.365,82.45,1.606,1
14,41:24.3,67.607,3.467,50.707,2032.2,15.808,0
28,18:35.7,66.704,3.493,47.868,1743.52,17.24,0
30,03:53.1,65.414,2.961,38.28,2351.6,15.309,0
8,57:54.2,80.483,3.62,47.771,1736.69,12.397,0
17,46:53.2,60.26,2.688,38.918,2136.95,10.448,0
18,20:05.1,60.615,2.069,44.321,2285.86,4.505,0
23,41:15.4,45.989,2.229,44.011,2256.73,9.817,0
15,03:45.3,65.076,2.601,41.327,2504.04,12.531,0
33,39:38.4,69.376,2.555,55.518,2378.92,10.536,0
33,18:04.3,71.568,1.19,45.598,2295.75,12.393,0
21,55:17.5,101.415,12.586,8.766,61.51,0.51,1
7,37:51.8,74.229,3.609,43.489,1419.06,10.916,0
21,40:38.0,64.487,1.692,42.424,2659.06,13.995,0
3,31:02.2,57.603,1.222,43.365,2135.96,13.489,0
16,03:59.0,60.717,2.909,54.676,2444.65,11.856,0
15,34:32.7,63.535,2.215,50.903,2011.81,12.136,0
10,50:54.5,65.41,2.099,38.138,2296.89,11.817,0
32,43:09.9,69.002,2.073,51.104,1936.97,17.136,0
6,53:05.6,51.019,2.848,47.377,1961.33,13.273,0
14,02:09.0,75.236,0.727,47.514,1452.02,9.103,0
14,33:02.2,100.985,9.905,14.29,181.94,2.768,1
17,34:46.8,78.033,3.594,39.156,1411.88,10.436,0
16,08:25.4,74.142,1.114,39.099,2279.06,19.71,0
12,56:24.0,54.134,1.382,46.693,2561.4,10.128,0
19,24:14.7,52.029,2.847,48.074,2733.6,13.971,0
26,17:26.1,71.625,2.29,57.208,2080.56,10.164,0
19,53:36.1,79.476,1.321,35.763,2235.87,11.995,0
19,55:51.7,63.177,3.295,40.459,2219.25,10.92,0
16,21:00.1,57.87,2.451,49.263,2836.17,13.738,0
30,58:19.4,44.913,2.469,45.249,2480.86,12.554,0
23,20:03.5,75.025,2.813,52.794,2068.38,12.433,0
31,22:31.3,71.613,2.042,41.05,2011.19,9.752,0
27,11:32.5,108.789,14.662,9.232,113.97,2.039,1
18,46:08.2,65.57,1.465,41.522,1924.56,15.719,0
27,54:34.9,61.83,3.355,48.021,2891.09,7.562,0
17,42:43.8,75.074,3.417,40.133,2502.14,13.008,0
29,14:13.5,63.18,1.841,41.404,2814.94,12.002,0
4,22:36.8,71.257,1.867,41.101,2524.6,7.951,0
22,04:32.0,61.678,2.527,45.557,2146.27,13.187,0
29,50:50.5,70.543,3.088,40.071,2114.75,15.584,0
11,25:27.2,72.157,1.402,46.757,1606.53,12.141,0
8,13:42.4,80.182,1.742,40.828,2429.21,7.372,0
22,46:44.4,59.938,2.977,41.829,2129.21,14.233,0
2,24:37.5,68.372,2.713,43.304,2311.02,11.629,0
22,22:00.0,68.662,2.102,44.087,1903.01,11.895,0
5,36:07.2,58.512,1.609,46.293,2263.82,14.349,0
24,13:17.7,61.551,2.826,47.754,2333.43,9.523,0
35,25:51.1,66.195,2.791,45.036,1574.06,12.481,0
19,46:48.6,82.7,2.212,41.36,2312,12.937,0
22,01:40.6,74.542,1.494,48.657,2377.13,11.574,0
16,33:45.2,133.633,9.58,10.871,161.3,2.194,1
2,36:04.4,67.709,2.943,43.163,2138.88,17.42,0
33,47:42.3,62.194,3.34,46.694,2099.76,7.966,0
11,35:52.4,127.417,14.133,9.46,119.13,2.572,1
16,41:10.3,66.693,2.927,49.197,2565.46,15.172,0
25,39:07.9,71.978,2.248,42.141,2299.78,14.799,0
18,55:53.4,63.218,3.352,52.263,1925.1,9.489,0
33,07:34.4,63.877,2.746,42.377,2605.66,13.272,0
27,39:06.5,65.316,1.351,38.421,2284.3,5.602,0
35,01:57.0,73.101,2.373,61.215,2892.37,11.456,0
26,47:08.3,64.149,3.296,53.516,1708.59,6.641,0
20,48:06.5,60.024,2.966,47.484,2520.93,8.401,0
2,36:23.4,46.471,3.186,40.859,1594.45,12.435,0
7,00:51.9,71.345,2.402,42.711,2152.19,10.888,0
31,32:29.2,54.216,1.928,47.606,2296.5,12.504,0
15,46:21.9,57.039,2.355,34.115,2253.54,16.287,0
31,38:09.8,53.207,2.031,46.646,2575.85,10.655,0
33,27:24.9,110.356,13.33,10.458,126.33,2.654,1
32,12:35.6,63.301,3.703,44.949,2288.91,12.745,0
35,07:44.8,51.995,2.731,42.187,1773.65,10.449,0
2,19:18.1,60.797,3.324,39.681,1963.05,12.706,0
24,28:12.0,54.394,1.973,36.678,2476,11.096,0
20,24:15.4,64.873,3.233,41.389,2106.4,8.831,0
6,49:25.8,56.532,1.764,42.538,2084.56,12.866,0
32,48:09.1,57.87,2.756,47.425,2059.65,9.586,0
26,19:01.2,65.681,2.338,46.102,2670.96,12.206,0
15,45:29.3,59.886,1.787,40.739,1761.17,14.798,0
27,02:10.6,47.134,2.89,40.66,2046.28,9.306,0
10,28:30.6,76.567,2.513,48.952,2590.16,12.49,0
27,07:32.3,55.435,2.323,41.289,2048.95,11.716,0
14,23:48.5,63.927,2.83,47.787,2159.76,13.21,0
35,09:01.6,60.605,3.552,42.172,2559.16,7.572,0
16,54:05.5,61.957,2.235,46.395,2458.55,8.252,0
33,20:03.8,56.136,1.378,51.601,2289.28,8.747,0
6,56:04.9,61.455,3.445,43.609,2098.84,9.656,0
5,01:45.9,56.8,3.447,53.37,1904.44,16.215,0
11,59:50.7,61.101,2.927,52.051,2156.48,11.016,0
13,09:40.0,71.409,1.612,50.735,2242.84,10.267,0
3,00:52.1,60.167,1.393,42.319,2120.79,8.816,0
34,26:31.0,64.636,2.878,43.933,2398.82,9.579,0
27,22:50.5,73.027,2.597,52.726,2924.27,10.589,0
28,09:37.9,61.567,2.303,47.979,2597.79,10.042,0
18,46:37.6,68.05,2.391,48.091,2652.84,11.279,0
24,56:12.7,51.641,3.095,40.836,2157.07,14.361,0
19,02:33.4,67.379,2.419,42.121,1330.03,14.095,0
24,18:02.6,62.976,3.711,46.99,2037.66,15.201,0
30,01:05.6,74.209,2.325,50.968,2033.41,12.479,0
9,10:48.7,69.571,3.128,48.108,2100.2,15.281,0
31,06:02.8,64.005,2.045,42.228,2782,9.774,0
10,34:03.0,75.333,1.592,47.44,2289.13,16.864,0
1,10:06.9,59.765,1.755,44.417,2699.44,9.348,0
7,35:01.2,44.293,2.548,49.748,1895.86,14.544,0
4,17:03.3,56.713,2.383,48.763,1843.76,12.545,0
5,53:57.8,74.72,2.879,41.397,2655.62,13.975,0
15,28:54.0,129.639,19.705,9.03,101.25,2.121,1
13,58:42.8,62.204,1.882,46.896,2569.07,10.209,0
28,49:45.0,45.878,2.17,49.567,2361.29,13.285,0
26,36:43.7,62.76,1.477,47.576,1949.72,18.552,0
13,04:21.3,69.564,2.035,41.943,2172.12,11.281,0
14,01:11.4,73.935,2.649,41.342,2767.13,12.148,0
7,47:00.3,71.151,2.013,46.816,2293.33,6.331,0
